RegionName,Date,Zhvi,Year,Month
60623,2000-03-31,88099.23811825983,2000,3
60634,2000-03-31,140526.7697282501,2000,3
60657,2000-03-31,266605.86223677394,2000,3
60614,2000-03-31,352730.4295148913,2000,3
60620,2000-03-31,64853.66609325779,2000,3
60641,2000-03-31,148496.52476399005,2000,3
60640,2000-03-31,140613.96358903302,2000,3
60628,2000-03-31,57962.76054866847,2000,3
60609,2000-03-31,109066.66278125052,2000,3
60651,2000-03-31,80061.00197247918,2000,3
60619,2000-03-31,64360.26708317594,2000,3
60638,2000-03-31,123981.51049337909,2000,3
60630,2000-03-31,154362.93176327672,2000,3
60622,2000-03-31,277523.80862499884,2000,3
60626,2000-03-31,89447.84344930718,2000,3
60613,2000-03-31,172013.1899759657,2000,3
60649,2000-03-31,83768.06692162623,2000,3
60616,2000-03-31,188639.0728406637,2000,3
60643,2000-03-31,131236.95121022893,2000,3
60645,2000-03-31,110294.68866805144,2000,3
60644,2000-03-31,69073.86432829122,2000,3
60637,2000-03-31,168216.51885725826,2000,3
60659,2000-03-31,132754.54857078966,2000,3
60660,2000-03-31,108748.0563633196,2000,3
60707,2000-03-31,136140.2773673508,2000,3
60652,2000-03-31,100731.5222907432,2000,3
60610,2000-03-31,227811.50178344545,2000,3
60615,2000-03-31,131220.06918645065,2000,3
60624,2000-03-31,100109.95156241856,2000,3
60611,2000-03-31,260840.93699568836,2000,3
60653,2000-03-31,166856.9077621953,2000,3
60612,2000-03-31,188805.96168401753,2000,3
60631,2000-03-31,189472.66200216216,2000,3
60636,2000-03-31,39413.84540486741,2000,3
60607,2000-03-31,250540.28900488303,2000,3
60646,2000-03-31,233944.2795052208,2000,3
60655,2000-03-31,136889.14104764527,2000,3
60605,2000-03-31,240835.0513956768,2000,3
60621,2000-03-31,48531.75872833439,2000,3
60642,2000-03-31,275458.8270198622,2000,3
60656,2000-03-31,144838.48671996707,2000,3
60654,2000-03-31,253852.3183465663,2000,3
60601,2000-03-31,239109.6984421157,2000,3
60633,2000-03-31,62493.67695498475,2000,3
60661,2000-03-31,247746.76547543705,2000,3
60606,2000-03-31,238537.23764324412,2000,3
60602,2000-03-31,295193.96087957657,2000,3
60603,2000-03-31,,2000,3
60604,2000-03-31,,2000,3
60629,2000-04-30,94510.73671579108,2000,4
60618,2000-04-30,215580.8914926829,2000,4
60639,2000-04-30,96208.2005033716,2000,4
60647,2000-04-30,215410.81232795335,2000,4
60632,2000-04-30,102789.1695073006,2000,4
60617,2000-04-30,63260.891545473794,2000,4
60608,2000-04-30,154340.27869047088,2000,4
60625,2000-04-30,157404.54667018124,2000,4
60623,2000-04-30,88697.474420415,2000,4
60634,2000-04-30,141364.90275666353,2000,4
