RegionName,Date,Zori,Year,Month
60607,2015-03-31,2016.6981191075508,2015,3
60646,2015-03-31,,2015,3
60605,2015-03-31,1968.7033507751485,2015,3
60621,2015-03-31,,2015,3
60642,2015-03-31,,2015,3
60656,2015-03-31,,2015,3
60654,2015-03-31,2037.6934652665263,2015,3
60601,2015-03-31,2391.5267796895723,2015,3
60661,2015-03-31,,2015,3
60606,2015-03-31,,2015,3
60603,2015-03-31,,2015,3
60629,2015-04-30,,2015,4
60618,2015-04-30,1357.0470042971465,2015,4
60639,2015-04-30,,2015,4
60647,2015-04-30,1446.8436868781284,2015,4
60632,2015-04-30,,2015,4
60617,2015-04-30,,2015,4
60608,2015-04-30,,2015,4
60625,2015-04-30,1223.665920064701,2015,4
60623,2015-04-30,,2015,4
60634,2015-04-30,,2015,4
60657,2015-04-30,1483.2243451072131,2015,4
60614,2015-04-30,1735.2386750653625,2015,4
60620,2015-04-30,845.9699275714194,2015,4
60641,2015-04-30,,2015,4
60640,2015-04-30,1217.6549317516442,2015,4
60628,2015-04-30,,2015,4
60609,2015-04-30,,2015,4
60651,2015-04-30,,2015,4
60619,2015-04-30,,2015,4
60638,2015-04-30,,2015,4
60630,2015-04-30,,2015,4
60622,2015-04-30,1589.5657818177942,2015,4
60626,2015-04-30,982.2662439743974,2015,4
60613,2015-04-30,1442.769789683592,2015,4
60649,2015-04-30,768.7300200097197,2015,4
60616,2015-04-30,1230.8094267167328,2015,4
60643,2015-04-30,,2015,4
60645,2015-04-30,,2015,4
60644,2015-04-30,,2015,4
60637,2015-04-30,,2015,4
60659,2015-04-30,,2015,4
60660,2015-04-30,1224.6839477459505,2015,4
60652,2015-04-30,,2015,4
60610,2015-04-30,1920.1867453533032,2015,4
60615,2015-04-30,1235.3888811973804,2015,4
60624,2015-04-30,,2015,4
60611,2015-04-30,2178.4301847460365,2015,4
60653,2015-04-30,,2015,4
60612,2015-04-30,1468.3171959731887,2015,4
60631,2015-04-30,,2015,4
60636,2015-04-30,,2015,4
60607,2015-04-30,2045.9723693708531,2015,4
60646,2015-04-30,,2015,4
60605,2015-04-30,1984.6717917076603,2015,4
60621,2015-04-30,,2015,4
60642,2015-04-30,,2015,4
60656,2015-04-30,,2015,4
60654,2015-04-30,2038.5717855737855,2015,4
60601,2015-04-30,2376.3345415669837,2015,4
60661,2015-04-30,,2015,4
60606,2015-04-30,,2015,4
60603,2015-04-30,,2015,4
60629,2015-05-31,,2015,5
60618,2015-05-31,1371.90777966603,2015,5
60639,2015-05-31,,2015,5
60647,2015-05-31,1460.256227097381,2015,5
60632,2015-05-31,,2015,5
60617,2015-05-31,,2015,5
60608,2015-05-31,,2015,5
60625,2015-05-31,1239.8743908844322,2015,5
60623,2015-05-31,,2015,5
60634,2015-05-31,,2015,5
60657,2015-05-31,1495.3543167224514,2015,5
60614,2015-05-31,1758.294561574664,2015,5
60620,2015-05-31,857.0409730439085,2015,5
60641,2015-05-31,,2015,5
60640,2015-05-31,1227.0413738155871,2015,5
60628,2015-05-31,,2015,5
60609,2015-05-31,,2015,5
60651,2015-05-31,,2015,5
60619,2015-05-31,,2015,5
60638,2015-05-31,,2015,5
60630,2015-05-31,,2015,5
60622,2015-05-31,1605.2424772845598,2015,5
60626,2015-05-31,989.908080886237,2015,5
60613,2015-05-31,1468.913097230889,2015,5
60649,2015-05-31,774.9633678986288,2015,5
60616,2015-05-31,1266.3626064532257,2015,5
60643,2015-05-31,,2015,5
60645,2015-05-31,,2015,5
60644,2015-05-31,,2015,5
60637,2015-05-31,1055.459571387549,2015,5
60659,2015-05-31,,2015,5
60660,2015-05-31,1235.1255237123876,2015,5
60652,2015-05-31,,2015,5
60610,2015-05-31,1932.8568496430544,2015,5
60615,2015-05-31,1227.156936199109,2015,5
60624,2015-05-31,,2015,5
60611,2015-05-31,2196.729280638254,2015,5
60653,2015-05-31,,2015,5
60612,2015-05-31,1491.4613091954318,2015,5
60631,2015-05-31,,2015,5
60636,2015-05-31,,2015,5
60607,2015-05-31,2048.6411328594377,2015,5
60646,2015-05-31,,2015,5
60605,2015-05-31,2006.0213520255209,2015,5
60621,2015-05-31,,2015,5
60642,2015-05-31,,2015,5
60656,2015-05-31,,2015,5
60654,2015-05-31,2081.9395643184425,2015,5
60601,2015-05-31,2324.3578532456595,2015,5
60661,2015-05-31,,2015,5
60606,2015-05-31,,2015,5
60603,2015-05-31,,2015,5
60629,2015-06-30,,2015,6
60618,2015-06-30,1393.7518582750156,2015,6
60639,2015-06-30,,2015,6
60647,2015-06-30,1473.1932589759635,2015,6
60632,2015-06-30,,2015,6
60617,2015-06-30,,2015,6
60608,2015-06-30,,2015,6
60625,2015-06-30,1237.0446691142345,2015,6
